comm_insee;NOM_COM;Nb_log_pp_2022;Prop_logvac_pp_2A_010121
4160;Reillanne;1 149;6,6
4161;Méolans-Revel;453;6
4162;Revest-des-Brousses;223;5,4
4163;Revest-du-Bion;494;12,8
4166;Riez;1 517;10,7
4167;La Robine-sur-Galabre;214;8,4
4172;Roumoules;537;7,1
4173;Saint-André-les-Alpes;880;7,7
4176;Sainte-Croix-du-Verdon;281;5,7
4178;Saint-Étienne-les-Orgues;1 075;3,9
4188;Saint-Maime;460;4,3
4189;Saint-Martin-de-Brômes;490;5,7
4192;Saint-Michel-l'Observatoire;855;3,6
4193;Saint-Paul-sur-Ubaye;394;4,3
4195;Saint-Pons;578;4,8
4197;Sainte-Tulle;1 586;4,9
4199;Saint-Vincent-sur-Jabron;187;9,6
4203;Selonnet;821;7,2
4204;Senez;;
4205;Seyne;1 956;5,7
4206;Sigonce;323;6,5
4208;Simiane-la-Rotonde;592;8,3
4209;Sisteron;4 173;6,7
4217;Thoard;461;8,7
4218;Thorame-Basse;426;3,8
4219;Thorame-Haute;499;6,6
4220;Les Thuiles;387;3,9
4222;Turriers;;
4226;Uvernet-Fours;3 681;0,7
4227;Vachères;;
4230;Valensole;2 271;5,2
4234;Venterol;188;10,1
4240;Villars-Colmars;567;3
4242;Villeneuve;1 804;2,3
4244;Volonne;1 051;6,8
4245;Volx;1 657;3
5001;Abriès-Ristolas;768;5,5
5003;Aiguilles;531;6,4
5004;Ancelle;1 885;3,1
5006;L'Argentière-la-Bessée;1 191;3,9
5007;Arvieux;784;3,2
5010;Aspres-sur-Buëch;607;4,9
5011;Avançon;;
5012;Baratier;601;6,7
5016;La Bâtie-Montsaléon;;
5017;La Bâtie-Neuve;1 096;2,5
5018;La Bâtie-Vieille;;
5023;Briançon;8 778;4,6
5024;Valdoule;;
5026;Ceillac;;
5027;Cervières;359;5
5029;Chabottes;734;3,8
5036;Châteauroux-les-Alpes;939;2,3
5038;Château-Ville-Vieille;468;7,3
5039;Aubessagne;608;7,9
5040;Chorges;2 029;4,5
5045;Crots;840;2,9
5046;Embrun;5 376;3,6
5050;Espinasses;337;7,7
5052;Eygliers;634;4,7
5053;Garde-Colombe;397;3,3
5054;La Fare-en-Champsaur;303;6,3
5055;La Faurie;;
5056;Forest-Saint-Julien;;
5058;Freissinières;287;6,6
5059;La Freissinouse;471;3
5061;Gap;20 256;2,6
5063;La Grave;1 046;3,7
5064;La Chapelle-en-Valgaudémar;;
5065;Guillestre;2 250;6,3
5070;Laragne-Montéglin;2 128;6,1
5072;Laye;;
5073;Lazer;226;10,6
5077;Molines-en-Queyras;870;4,8
5078;Monêtier-Allemont;184;10,3
5079;Le Monêtier-les-Bains;2 696;2,9
5090;La Motte-en-Champsaur;;
5093;Névache;;
5095;Le Noyer;268;6,3
5096;Orcières;3 229;3,5
5097;Orpierre;375;4,8
5098;Les Orres;2 483;1,6
5100;Pelleautier;;
5101;Vallouise-Pelvoux;2 373;3,3
5103;Le Poët;477;5,5
5104;Poligny;317;6
5106;Prunières;;
5107;Puy-Saint-André;;
5109;Puy-Saint-Pierre;;
5110;Puy-Saint-Vincent;2 463;1,4
5114;Réallon;;
5115;Remollon;313;6,1
5116;Réotier;;
5118;Val Buëch-Méouge;1 019;5,9
5119;Risoul;3 627;2,8
5122;La Roche-de-Rame;562;2,8
5123;La Roche-des-Arnauds;931;3
5124;La Rochette;245;6,1
5126;Rosans;391;8,4
5128;Saint-André-d'Embrun;549;6,4
5132;Saint-Bonnet-en-Champsaur;1 569;3,6
5133;Saint-Chaffrey;3 428;1,7
5134;Saint-Clément-sur-Durance;;
5136;Saint-Crépin;673;4,9
5139;Dévoluy;3 921;1,5
5142;Saint-Firmin;583;7,5
5145;Saint-Jean-Saint-Nicolas;918;5,4
5147;Saint-Julien-en-Champsaur;293;5,8
5148;Saint-Laurent-du-Cros;414;6
5149;Saint-Léger-les-Mélèzes;851;1,8
5151;Saint-Martin-de-Queyrières;997;3,3
5153;Saint-Michel-de-Chaillol;881;2
5156;Saint-Sauveur;;
5157;Saint-Véran;466;7,5
5161;La Salle-les-Alpes;3 644;1
5162;La Saulce;619;4,5
5164;Savines-le-Lac;1 093;2,7
5166;Serres;1 019;7,1
5168;Sigoyer;422;5,2
5170;Tallard;1 196;4,3
5173;Upaix;317;8,2
5174;Val-des-Prés;545;4,6
5176;Valserres;197;9,1
5177;Vars;3 505;4
5178;Ventavon;;
5179;Veynes;1 974;5,2
5180;Les Vigneaux;445;3,6
5183;Villar-Saint-Pancrace;1 118;3,8
6003;Andon;680;3,2
6004;Antibes;63 246;1,6
6005;Ascros;;
6006;Aspremont;1 149;2,2
6007;Auribeau-sur-Siagne;1 678;0,7
6010;Le Bar-sur-Loup;1 637;1,5
6011;Beaulieu-sur-Mer;3 692;2,7
6012;Beausoleil;10 093;5,6
6013;Belvédère;1 179;11,5
6014;Bendejun;506;6,1
6015;Berre-les-Alpes;884;4,3
6016;Beuil;1 178;7,4
6018;Biot;5 398;1,2
6019;Blausasc;810;3,6
6020;La Bollène-Vésubie;647;10,2
6021;Bonson;419;7,2
6022;Bouyon;403;6,2
