"";"site_id";"nature";"nom_prodcartofriches";"site_statut";"geom"
"9098";"22251_19893";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.86407809953433, 48.5609852309902)
"9099";"22251_19903";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.79056920790661, 48.5633328930419)
"9100";"22387_19940";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.4315742627747, 48.587140607591)
"9101";"22218_21183";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-3.23090828070973, 48.8621664867387)
"9102";"22008_19978";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.10527406648724, 48.4192538174282)
"9103";"22339_20027";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.05758621560602, 48.4610222005516)
"9104";"22113_20959";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-3.46777473162104, 48.7603162438723)
"9105";"22278_21573";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-2.78383904741166, 48.5179679451962)
"9106";"22224_739";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.481846621648, 48.7081921758288)
"9107";"22177_2645";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.94155001788477, 48.6342859351539)
"9108";"22055_2659";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.83462018014087, 48.6437895226678)
"9109";"22226_2741";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.52740580717368, 48.6777101083044)
"9110";"22264_2881";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.24425044312729, 48.7193125063181)
"9111";"22347_3905";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.1956376528357, 48.817221954058)
"9112";"22158_4025";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.99580027352142, 48.1691727547656)
"9113";"22182_4087";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.97292990898029, 48.5435889970858)
