"";"site_id";"nature";"nom_prodcartofriches";"site_statut";"geom"
"1411";"87154_17760";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(0.913528786497816, 45.8950246711415)
"1412";"65086_14138";"MTE";"Friche étude Ademe 2021";"inconnu";c(0.319204984466649, 43.216733370188)
"1413";"87045_17820";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.05016330302592, 45.9851729853908)
"1414";"80233_24344";"observatoire local";"DDTM de la Somme";"inconnu";c(2.73404777491192, 49.6635463957423)
"1415";"87154_21264";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(0.893959234073697, 45.8814489664636)
"1416";"39129_4245";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(5.94495926787665, 46.6564293313401)
"1417";"31451_5071";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.00080841310918, 43.4636622000683)
"1418";"87089_17959";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.15083248173625, 46.2124632799763)
"1419";"87074_18037";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.39357740658777, 46.349333823955)
"1420";"05064_13827";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(6.19445838228787, 44.8192822302333)
"1421";"87011_17910";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.06862406136394, 46.1181313445762)
"1422";"87028_17969";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(0.903730139734631, 46.2343878413371)
"1423";"03189_13788";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(2.81948984503154, 46.3335740424005)
"1424";"62108_4263";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.56422457641597, 50.4074202299712)
"1425";"71106_18073";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(4.27761994841632, 46.4350391167938)
"1426";"28393_19980";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.38429833735915, 48.5985292338919)
"1427";"63304_3428";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.62570295136288, 46.043682254098)
"1428";"03034_18013";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.48224490183273, 46.3186175376602)
"1429";"11116_21048";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(2.99814487179575, 43.2438031831319)
